@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
1250,'2019/09/24 11:26:30:740',14,-15329770,-11319229,-2892063,-7748908,-9202008,-10918285,-14013651,-15001320,-14144978,-14540253,-14934750,-9340022,-2431515,-4655365,-9665383,-10655366,-14342615,-15067370,-14013907,-14475232,-14736851,-5260857,-1900802,-5573122,-9204059,-10721676,-14802910,-15264492,-14211286,-14672610,-14867408,-4404521,-3014914,-6493954,-10455152,-11708828,-14539994,-15132648,-14212058,-14738920,-15196631,-12689799,-11503728,-11502437,-12299934,-12234653,-12565424,-13487300,-13949143,-13819619,-14669511,-2692880,-5377030,-8073743,-11313555,-12234656,-13223617,-14013647,-14212831,-13820135,-14471875,-2692368,-5112578,-7612942,-10916478,-12036762,-15790578,-16185079,-15593971,-14410731,-14540250,-3423823,-5308930,-7482132,-10916479,-11971487,-16185080,-16777213,-16777215,-16711421,-13095638,-1314845,-6297618,-9527626,-11641493,-12301744,-16448251,-16777214,-16777216,-16777214,-11451593,-2628640,-8928302,-8995627,-11771281,-12695477,-16514045,-16777214,-16777214,-16777214,1
1251,'2019/09/24 11:26:30:774',14,-15527148,-10662326,-2826526,-8076588,-9202007,-10918285,-14210515,-14935528,-13816528,-14802910,-15197664,-9077364,-2234137,-4720901,-9534055,-10524293,-14473944,-14870504,-13554640,-14869217,-15196117,-5326392,-1900802,-5573122,-9138268,-10656140,-14868958,-15133163,-13817300,-15000804,-15261393,-4404778,-3014914,-6559746,-10389615,-11577500,-14671323,-15066855,-13883609,-15001577,-15525081,-12492935,-11372401,-11633765,-12234397,-12103326,-12762289,-13355971,-13555669,-14213348,-15129032,-2758416,-5377030,-8139535,-11313299,-12103585,-13420737,-13882319,-13753566,-14344935,-14931395,-2627089,-5047042,-7678734,-10850686,-11905690,-15921907,-16119287,-15199986,-15002093,-14999773,-3226438,-5177858,-7547668,-10850687,-11840159,-16250872,-16777213,-16777216,-16711422,-13949146,-1183769,-6232082,-9789771,-11575701,-12170417,-16448508,-16777214,-16777216,-16777213,-12370637,-2431517,-8731439,-9192490,-11640209,-12498869,-16579837,-16777215,-16777215,-16776957,1
1252,'2019/09/24 11:26:30:811',14,-15264234,-10531515,-3089186,-7879980,-9202008,-11049358,-14210516,-14542054,-14210769,-14802910,-14934751,-9011573,-2497052,-4720901,-9599848,-10655622,-14473944,-14607848,-14145493,-14803425,-14736596,-5063737,-1966082,-5573122,-9072990,-10853003,-14868703,-14936041,-14277079,-14935267,-14801872,-4273449,-3080450,-6559490,-10324081,-11774364,-14671322,-14869990,-14343132,-14936041,-15196631,-12427398,-11569520,-11568228,-12234397,-12300191,-12696496,-13224643,-14014936,-14147811,-14735047,-2627087,-5442566,-8139535,-11313299,-12365729,-13354945,-13750990,-14212831,-14213607,-14537411,-2626832,-5178114,-7613199,-10785151,-12168091,-15921907,-16053494,-15790579,-15001579,-14474457,-2897477,-5308930,-7482389,-10785151,-12102817,-16251128,-16777215,-16777216,-16711421,-13030100,-1182997,-6363410,-9724234,-11510164,-12433329,-16448507,-16777215,-16777216,-16777213,-11516611,-2431516,-9059374,-9126954,-11574674,-12827062,-16579837,-16777215,-16777213,-16777214,1
1253,'2019/09/24 11:26:30:844',14,-15329770,-11187643,-2826782,-7814444,-9268056,-10852749,-14144979,-15066856,-14013649,-14606045,-15065822,-9274229,-2365465,-4720901,-9796456,-10589829,-14408409,-15067370,-13817042,-14606560,-14867668,-5194807,-1900546,-5573378,-9204317,-10721676,-14803167,-15330027,-14079957,-14738146,-14867664,-4338728,-3014914,-6494210,-10455409,-11643036,-14605787,-15132648,-14080730,-14739177,-15327703,-12689799,-11437935,-11502693,-12365470,-12168863,-12565425,-13552836,-13818071,-13885155,-14866119,-2626830,-5377030,-8139536,-11379347,-12234657,-13289409,-14079183,-14015967,-13754599,-14537410,-2626576,-5112578,-7613199,-10916733,-12036762,-15856371,-16185079,-15528178,-14410986,-14605787,-3357773,-5243394,-7547925,-10916478,-11971488,-16250872,-16777214,-16777215,-16711421,-13292247,-1314844,-6297874,-9658700,-11575957,-12236465,-16448251,-16777215,-16777216,-16777214,-11647946,-2628897,-8796973,-9061419,-11706002,-12630197,-16514045,-16777214,-16777215,-16777214,1
1254,'2019/09/24 11:26:30:874',14,-15526891,-10333619,-2957856,-7945516,-9267800,-10918285,-14210772,-14804198,-13816784,-14868703,-15131871,-8879987,-2299672,-4786437,-9665384,-10589574,-14539737,-14804712,-13685458,-14869474,-15065043,-4998198,-1900802,-5638914,-9138524,-10721676,-14868960,-15001834,-13883092,-15066597,-15195600,-4207400,-3014914,-6625282,-10389617,-11708571,-14671579,-14935782,-13949401,-15067370,-15590361,-12427143,-11438193,-11634021,-12168862,-12168863,-12827825,-13355971,-13686742,-14278884,-15063495,-2561294,-5377030,-8205328,-11248019,-12169121,-13420737,-13816526,-13884638,-14410727,-14800067,-2495247,-5112578,-7678991,-10850686,-11971227,-15922164,-16053750,-15331314,-15198701,-14933980,-2963265,-5243394,-7613461,-10850686,-11905696,-16316665,-16777214,-16777216,-16711421,-13752023,-1182998,-6297875,-9855564,-11575699,-12170930,-16514044,-16777214,-16777216,-16777213,-12173513,-2431516,-8796974,-9192748,-11574674,-12564662,-16579838,-16777214,-16777215,-16776957,1
1255,'2019/09/24 11:26:30:907',14,-15198441,-10662588,-3089186,-7879979,-9267799,-10984077,-14144980,-14738663,-14210770,-14737117,-14803421,-9011573,-2562589,-4655365,-9534311,-10720902,-14408408,-14739176,-14079957,-14737887,-14605267,-4998200,-1966338,-5573378,-9138525,-10787468,-14868703,-15001834,-14277334,-14869474,-14801615,-4207656,-3080449,-6494210,-10324080,-11774620,-14605787,-14935783,-14343388,-14870248,-15130839,-12558216,-11635056,-11502437,-12234397,-12365726,-12630961,-13355715,-14014935,-14016483,-14603719,-2561295,-5508102,-8139535,-11247763,-12300449,-13289409,-13816526,-14278624,-14082534,-14340546,-2561039,-5178114,-7547663,-10785405,-12168091,-15856371,-16119286,-15790579,-14739178,-14343128,-2963270,-5374466,-7547668,-10850686,-12102816,-16250872,-16777214,-16777215,-16711421,-12832723,-1248534,-6428947,-9724235,-11510164,-12433074,-16448251,-16777214,-16777215,-16777214,-11188417,-2628381,-9059373,-9061419,-11574675,-12827062,-16514045,-16777215,-16777214,-16776958,1
1256,'2019/09/24 11:26:30:940',14,-15395819,-11187643,-2760990,-7879980,-9267799,-10918284,-14144979,-15066857,-13882321,-14605789,-15066079,-9274228,-2299929,-4655365,-9665383,-10589573,-14408408,-15067370,-13685970,-14606560,-14999253,-5260856,-1900545,-5638914,-9204060,-10656140,-14803166,-15330028,-13948629,-14803682,-14998993,-4470057,-2949378,-6493954,-10389617,-11577500,-14605531,-15198440,-14014937,-14804712,-15393496,-12624262,-11372400,-11568228,-12299933,-12103326,-12630962,-13552836,-13686742,-13950692,-14931913,-2627087,-5377030,-8139279,-11379092,-12103585,-13289409,-14079184,-13950174,-13951206,-14603459,-2692368,-5047042,-7612942,-10916477,-11970970,-15856115,-16185079,-15331314,-14673387,-14802652,-3423564,-5177858,-7482132,-10916222,-11840159,-16185336,-16777214,-16777216,-16711422,-13489624,-1315101,-6166547,-9723979,-11707028,-12170416,-16448251,-16777214,-16777216,-16777214,-11845579,-2563104,-8796974,-9061418,-11771026,-12498869,-16514045,-16777214,-16777215,-16776958,1
1257,'2019/09/24 11:26:30:974',14,-15461355,-10268598,-3023391,-8011308,-9136214,-10918285,-14210515,-14672871,-14013648,-14868703,-15131872,-8946036,-2365466,-4786181,-9534055,-10589829,-14474200,-14607848,-13751506,-14934754,-14999509,-5129785,-1900802,-5638658,-9072732,-10721675,-14868703,-14936041,-14014421,-15066597,-15195600,-4338986,-2949378,-6559746,-10258289,-11708571,-14671323,-14869990,-14080730,-15067370,-15524825,-12296327,-11503728,-11633764,-12168605,-12169119,-12762289,-13224643,-13752278,-14344421,-14997961,-2692880,-5442566,-8139534,-11182227,-12169122,-13420737,-13750990,-13950431,-14476263,-14865603,-2626833,-5047042,-7678478,-10785149,-12036764,-15921907,-16053750,-15462386,-15198700,-14868443,-3029059,-5243394,-7547668,-10719614,-12036767,-16251129,-16777214,-16777216,-16711421,-13686487,-1117717,-6297874,-9789772,-11510164,-12236209,-16514044,-16777214,-16777216,-16777213,-12239305,-2300187,-8862766,-9126698,-11574417,-12564661,-16579838,-16777214,-16777215,-16776957,1
1258,'2019/09/24 11:26:31:007',14,-15198441,-10991294,-2958113,-7814444,-9202263,-10984077,-14144723,-14804456,-14210770,-14606045,-14868958,-9208694,-2562588,-4589829,-9665383,-10720902,-14342871,-14870505,-14145492,-14606560,-14671060,-5064249,-1966338,-5507586,-9203804,-10787211,-14803167,-15067626,-14277335,-14803682,-14736336,-4404521,-3080450,-6493954,-10389617,-11774364,-14605530,-15066855,-14343387,-14804712,-15130839,-12624263,-11569520,-11436901,-12299933,-12300190,-12565169,-13421252,-14015191,-13885155,-14603975,-2627344,-5442566,-8139279,-11313555,-12300448,-13223617,-13882319,-14278623,-13951206,-14340547,-2692369,-5112578,-7547406,-10785406,-12102555,-15856115,-16119286,-15790579,-14542315,-14408665,-3226443,-5308930,-7416852,-10850686,-12102560,-16185336,-16777214,-16777215,-16711422,-12898516,-1248793,-6428946,-9592907,-11575701,-12433073,-16448251,-16777214,-16777215,-16777214,-11320004,-2562846,-9059374,-8995626,-11705745,-12827061,-16514045,-16777214,-16777214,-16776957,1
1259,'2019/09/24 11:26:31:041',14,-15526891,-11056056,-2826526,-8011051,-9267800,-10787213,-14145235,-15066856,-13816783,-14671838,-15131872,-9208692,-2234136,-4720901,-9730919,-10589830,-14474200,-15067370,-13619921,-14672353,-14999252,-5195064,-1900802,-5638658,-9204060,-10656139,-14868703,-15264491,-13882836,-14869475,-15130065,-4338985,-3014914,-6559746,-10389618,-11643037,-14605787,-15132648,-13949145,-14935785,-15524568,-12689798,-11306864,-11633765,-12234653,-12168863,-12762033,-13552836,-13686741,-14082019,-15128520,-2627087,-5377030,-8139535,-11313555,-12103329,-13289666,-14013647,-13819102,-13951463,-14800068,-2626576,-5047042,-7613199,-10916478,-11970971,-15921907,-16185079,-15265521,-14739180,-14934237,-3357511,-5177858,-7482389,-10850943,-11774624,-16251129,-16777214,-16711679,-16711421,-13686489,-1314844,-6166547,-9790027,-11641236,-12170673,-16448508,-16777214,-16777216,-16777214,-12173260,-2497567,-8796718,-9126955,-11705747,-12498870,-16579581,-16777214,-16777215,-16777214,1
